title,company,salary,work,place,skills,decriptions
"Senior .NET Developer (C#,.NET, SQL, CSS)",Oolio Vietnam,"2,500 - 3,000 USD",At office,Ho Chi Minh,".NET, SQL, C#, ","Competitive Salary & Bonus package, Flat Structure & Feedback driven Culture, Work for a Global Product Company into POS domain, "
"Senior FullStack Engineer (VueJS, Python, AWS)",LACONIC,"2,000 - 3,000 USD",At office,Ho Chi Minh,"Python, AWS, VueJS, ",
"UI/UX Designer (Mid/Senior, English Required)",Fullerton Health,"1,000 - 1,600 USD",At office,Ho Chi Minh,"Designer, English, UI-UX, ",
"Fulltime Web Developer (PHP, Wordpress, JQuery)",ROSHI,You'll love it,At office,Ho Chi Minh,"PHP, JQuery, Wordpress, ",
Senior Java Developer - 24Hr Recruitment Campaign,ELCA,You'll love it,Hybrid,Ho Chi Minh,"Java, J2EE, Spring, ",
Senior Backend Developer - Java,Công ty Cổ phần Chứng khoán KIS Việt Nam,"1,000 - 2,500 USD",At office,Ho Chi Minh,"Java, Oracle, ",
"Java Software Engineer (Spring, Junit)",Rakus Vietnam Company,From $900,At office,Ho Chi Minh,"Java, Spring, JUnit, ",
Junior Backend Developer (C/C++/Golang),Công ty TNHH Công nghệ RBX,You'll love it,At office,Ha Noi,"C++, C language, Golang, ",
"Data Engineer (Database, MySQL, SQL)",Relationshop Inc.,You'll love it,At office,Ho Chi Minh,N/A,
Backend Engineering Manager (NodeJS/SA) Up to $3500,Beincom,"2,500 - 3,500 USD",At office,Ho Chi Minh,"Manager, NodeJS, Solution Architect, ",
Senior Backend Engineer - AGI (Python),Trusting Social,You'll love it,At office,Ho Chi Minh,"Python, SQL, Database, ","Top Salary, Awesome Benefits, Premium healthcare for 3 members in family, Grab to work, Lunch allowance for all employee, "
Backend Engineer - AGI (Python),Trusting Social,You'll love it,At office,Ho Chi Minh,"Python, Database, SQL, ","Top Salary, Awesome Benefits, Premium healthcare for 3 members in family, Grab to work, Lunch allowance for all employee, "
Senior DevOps Engineer (AI),Herond Labs,"1,500 - 2,000 USD",Hybrid,Ho Chi Minh,"DevOps, AI, AWS, ",
"Backend Dev (Python, Django, SQL)",Med-Aid,"1,000 - 2,000 USD",At office,Ha Noi,"Python, Django, SQL, ","Tet bonus, holiday bonuses, and other benefits., Participate in profession training courses, Bao Viet health insurance., "
"(Associate) Product Manager, Commerce Engine",Katalon,You'll love it,Hybrid,Ho Chi Minh,"Product Manager, English, Agile, ",
"Mid/Senior QA Tester (QA QC, Automation test)",Fullerton Health,"1,000 - 2,000 USD",At office,Ho Chi Minh,"Tester, English, QA QC, ",
Senior Flutter Mobile Developer - Fluent English,SSTech,You'll love it,At office,Ho Chi Minh,"Flutter, Dart, English, ",
Middle/Senior DevOps,Eastplayers,"1,000 - 3,000 USD",Hybrid,Ho Chi Minh,"Python, AWS, ",
